title_term,title_df,title_cf,title_idf
鹤,2,2,2.0969100130080562
吟,1,1,2.397940008672037
岁,1,1,2.397940008672037
相,4,4,1.7958800173440752
燕,2,2,2.0969100130080562
阳,4,4,1.7958800173440752
安,3,3,1.9208187539523751
晓,1,1,2.397940008672037
鹉,1,1,2.397940008672037
祭,1,1,2.397940008672037
南,12,12,1.3187587626244126
渭,2,2,2.0969100130080562
梅,1,1,2.397940008672037
遇,6,6,1.6197887582883939
三,3,4,1.9208187539523751
业,2,2,2.0969100130080562
笳,1,1,2.397940008672037
丞,3,3,1.9208187539523751
鲁,1,1,2.397940008672037
鼓,1,1,2.397940008672037
酬,2,2,2.0969100130080562
雪,2,2,2.0969100130080562
湖,2,2,2.0969100130080562
御,2,2,2.0969100130080562
郎,1,1,2.397940008672037
锡,1,1,2.397940008672037
弄,1,1,2.397940008672037
端,1,1,2.397940008672037
贫,1,1,2.397940008672037
送,23,24,1.0362121726544447
后,2,2,2.0969100130080562
听,4,4,1.7958800173440752
善,1,1,2.397940008672037
公,3,3,1.9208187539523751
杜,2,2,2.0969100130080562
涧,1,1,2.397940008672037
灵,2,2,2.0969100130080562
仆,1,1,2.397940008672037
给,1,1,2.397940008672037
嫦,1,1,2.397940008672037
头,1,1,2.397940008672037
虚,1,1,2.397940008672037
画,1,1,2.397940008672037
有,3,3,1.9208187539523751
遗,1,1,2.397940008672037
禅,1,1,2.397940008672037
鱼,1,1,2.397940008672037
岘,1,1,2.397940008672037
清,1,1,2.397940008672037
谒,1,1,2.397940008672037
池,1,1,2.397940008672037
娥,1,1,2.397940008672037
食,1,1,2.397940008672037
闺,1,1,2.397940008672037
嵩,1,1,2.397940008672037
秀,1,1,2.397940008672037
居,4,4,1.7958800173440752
然,2,2,2.0969100130080562
扬,2,2,2.0969100130080562
斯,1,1,2.397940008672037
房,4,4,1.7958800173440752
士,4,4,1.7958800173440752
迪,1,1,2.397940008672037
壁,1,1,2.397940008672037
赠,9,9,1.4436974992327125
院,1,1,2.397940008672037
朓,1,1,2.397940008672037
言,1,1,2.397940008672037
墓,1,1,2.397940008672037
文,1,1,2.397940008672037
维,1,2,2.397940008672037
鄂,1,1,2.397940008672037
二,9,10,1.4436974992327125
张,6,6,1.6197887582883939
巷,1,1,2.397940008672037
阵,1,1,2.397940008672037
赴,2,2,2.0969100130080562
为,1,1,2.397940008672037
胡,1,1,2.397940008672037
衣,2,2,2.0969100130080562
泛,2,2,2.0969100130080562
西,5,5,1.6989700043360185
华,1,1,2.397940008672037
射,1,1,2.397940008672037
蓉,1,1,2.397940008672037
毋,1,1,2.397940008672037
赋,2,2,2.0969100130080562
碑,1,1,2.397940008672037
暮,2,2,2.0969100130080562
收,1,1,2.397940008672037
觱,1,1,2.397940008672037
体,1,1,2.397940008672037
夜,17,18,1.1674910872937636
杨,1,1,2.397940008672037
生,1,1,2.397940008672037
首,11,11,1.3565473235138124
哥,1,1,2.397940008672037
驿,4,4,1.7958800173440752
鸿,1,1,2.397940008672037
雀,1,1,2.397940008672037
幽,1,1,2.397940008672037
庐,2,2,2.0969100130080562
德,1,1,2.397940008672037
汉,1,1,2.397940008672037
弟,6,6,1.6197887582883939
宿,10,10,1.3979400086720375
从,2,2,2.0969100130080562
年,2,2,2.0969100130080562
严,1,1,2.397940008672037
大,8,8,1.494850021680094
望,8,8,1.494850021680094
题,11,11,1.3565473235138124
斋,3,3,1.9208187539523751
帝,1,1,2.397940008672037
孟,2,2,2.0969100130080562
筝,1,1,2.397940008672037
置,1,1,2.397940008672037
迹,1,1,2.397940008672037
时,1,1,2.397940008672037
宴,1,1,2.397940008672037
兰,1,1,2.397940008672037
野,1,1,2.397940008672037
寒,1,1,2.397940008672037
临,1,1,2.397940008672037
狱,1,1,2.397940008672037
孙,1,1,2.397940008672037
卢,2,2,2.0969100130080562
征,2,2,2.0969100130080562
庄,2,2,2.0969100130080562
得,2,2,2.0969100130080562
怨,10,10,1.3979400086720375
令,1,1,2.397940008672037
阁,1,1,2.397940008672037
笔,1,1,2.397940008672037
台,8,8,1.494850021680094
柴,1,1,2.397940008672037
川,4,4,1.7958800173440752
岭,1,1,2.397940008672037
平,1,1,2.397940008672037
利,1,1,2.397940008672037
花,1,1,2.397940008672037
蝉,2,2,2.0969100130080562
翁,1,1,2.397940008672037
之,6,6,1.6197887582883939
渐,2,2,2.0969100130080562
蓟,1,1,2.397940008672037
主,1,1,2.397940008672037
秦,1,1,2.397940008672037
灞,1,1,2.397940008672037
游,8,8,1.494850021680094
出,2,2,2.0969100130080562
朝,2,2,2.0969100130080562
柏,1,1,2.397940008672037
冯,1,1,2.397940008672037
乌,1,1,2.397940008672037
水,3,3,1.9208187539523751
夫,1,1,2.397940008672037
叔,1,1,2.397940008672037
初,1,1,2.397940008672037
隐,2,2,2.0969100130080562
日,7,7,1.5528419686577806
信,1,1,2.397940008672037
嵬,1,1,2.397940008672037
北,6,6,1.6197887582883939
诸,2,2,2.0969100130080562
洛,1,1,2.397940008672037
斛,1,1,2.397940008672037
在,1,1,2.397940008672037
寺,4,4,1.7958800173440752
军,4,4,1.7958800173440752
早,5,5,1.6989700043360185
校,2,2,2.0969100130080562
狐,1,1,2.397940008672037
女,3,3,1.9208187539523751
恨,1,1,2.397940008672037
待,1,1,2.397940008672037
江,10,10,1.3979400086720375
赤,1,1,2.397940008672037
楚,1,1,2.397940008672037
者,2,2,2.0969100130080562
